No.,Date
1st,"April 30, 1789"
,
2nd,"March 4, 1793"
,
,
3rd,"March 4, 1797"
,
,
4th,"March 4, 1801"
,
,
,
5th,"March 4, 1805"
6th,"March 4, 1809"
7th,"March 4, 1813"
8th,"March 4, 1817"
9th,"March 5, 1821"
10th,"March 4, 1825"
11th,"March 4, 1829"
12th,"March 4, 1833"
,
13th,"March 4, 1837"
,
14th,"March 4, 1841"
,
,
,
15th,"March 4, 1845"
,
16th,"March 5, 1849"
,
,
17th,"March 4, 1853"
,
,
,
18th,"March 4, 1857"
19th,"March 4, 1861"
20th,"March 4, 1865"
,
21st,"March 4, 1869"
22nd,"March 4, 1873"
23rd,"March 5, 1877"
24th,"March 4, 1881"
,
25th,"March 4, 1885"
26th,"March 4, 1889"
27th,"March 4, 1893"
28th,"March 4, 1897"
,
29th,4-Mar-1901
,
30th,4-Mar-1905
31th,4-Mar-1909
,
32nd,4-Mar-1913
33rd,5-Mar-1917
,
,
34th,4-Mar-1921
,
35th,4-Mar-1925
,
36th,4-Mar-1929
37th,4-Mar-1933
,
38th,20-Jan-1937
39th,20-Jan-1941
40th,20-Jan-1945
,
,
,
,
41st,20-Jan-1949
42nd,20-Jan-1953
43rd,21-Jan-1957
44th,20-Jan-1961
,
,
45th,20-Jan-1965
46th,20-Jan-1969
,
47th,20-Jan-1973
48th,20-Jan-1977
,
49th,20-Jan-1981
,
50th,21-Jan-1985
,
51st,20-Jan-1989
52nd,20-Jan-1993
53rd,20-Jan-1997
54th,20-Jan-2001
55th,20-Jan-2005
,
,
,
56th,20-Jan-2009
,
,
,
,
57th,21-Jan-2013
58th,20-Jan-2017
